Borough,Avg_Household_Income,Latitude,Longitute
 ADALAR,6652, 40.87637720, 29.09544400
 ARNAVUTKÖY,2030, 41.20000000, 28.73333300
 ATAÞEHÝR,6577, 40.98333330, 29.11666670
 AVCILAR,3662, 41.01534790, 28.73146180
 BAÐCILAR,3197, 41.04555560, 28.84055560
 BAHÇELÝEVLER,4674, 40.99750000, 28.85055560
 BAKIRKÖY,8845, 40.96815500, 28.82280000
 BAÞAKÞEHÝR,4513, 41.07789500, 28.81255100
 BAYRAMPAÞA,3480, 41.04815030, 28.90045530
 BEÞÝKTAÞ,10560, 41.06861600, 29.02853550
 BEYKOZ,3693, 41.13271900, 29.10569000
 BEYLÝKDÜZÜ,4327, 40.99103810, 28.64981440
 BEYOÐLU,4773, 41.03828640, 28.97033040
 BÜYÜKÇEKMECE,3671, 41.03413300, 28.59000300
 ÇATALCA,2128, 41.14823900, 28.46773000
 ÇEKMEKÖY,3503, 41.10423500, 29.31772720
 ESENLER,2847, 41.07941330, 28.85385450
 ESENYURT,3024, 41.03428060, 28.68011940
 EYÜP,4670, 41.18715980, 28.88298160
 FATÝH,5281, 41.01666670, 28.93333330
 GAZÝOSMANPAÞA,3019, 41.07594770, 28.90045530
 GÜNGÖREN,3388, 41.01666670, 28.88333330
 KADIKÖY,9025, 40.98014100, 29.08227000
 KAÐITHANE,4188, 41.07100000, 28.97000000
 KARTAL,4120, 40.89965100, 29.19364900
 KÜÇÜKÇEKMECE,3567, 41.00865800, 28.77534200
 MALTEPE,5772, 40.94904700, 29.17410900
 PENDÝK,3055, 40.87932600, 29.25813500
 SANCAKTEPE,2633, 41.02870280, 29.29018290
 SARIYER,7308, 41.16632800, 29.04995000
 SÝLÝVRÝ,2372, 41.08015800, 28.26829000
 SULTANBEYLÝ,2172, 40.96111230, 29.26694380
 SULTANGAZÝ,2187, 41.12557940, 28.87133140
 ÞÝLE,2482, 41.17638890, 29.61277780
 ÞÝÞLÝ,7822, 41.06000000, 28.98700000
 TUZLA,3407, 40.84200000, 29.29500000
 ÜMRANÝYE,3637, 41.03030000, 29.10650000
 ÜSKÜDAR,6987, 41.03223600, 29.03193800
 ZEYTÝNBURNU,3644, 40.99063500, 28.89614000
